ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778176788876,2512318464,61730816,814002176,292036608,943730688,1073737728,854647,50343,6,6330261,54530,0,3917601,3469,875159040,51551232,5877373,2393847,9,2,0,0,0,70417,125170
1778176789171,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6331921,54530,0,3917601,3469,875159040,51551232,5879153,2394503,9,2,0,0,0,70417,125170
1778176789467,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6333586,54530,0,3917601,3469,875159040,51551232,5880041,2395127,9,2,0,0,0,70417,125170
1778176789760,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6335245,54530,0,3917601,3469,875159040,51551232,5880627,2396251,9,2,0,0,0,70417,125170
1778176790055,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6336905,54530,0,3917601,3469,875159040,51551232,5880825,2396291,9,2,0,0,0,70417,125170
1778176790351,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6338565,54530,0,3917601,3469,875159040,51551232,5881023,2396331,9,2,0,0,0,70417,125170
1778176790644,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6340223,54530,0,3917601,3469,875159040,51551232,5881793,2396915,9,2,0,0,0,70417,125170
1778176790939,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6341899,54530,0,3917601,3469,875159040,51551232,5882077,2397139,9,2,0,0,0,70417,125170
1778176791231,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6343556,54530,0,3917601,3469,875159040,51551232,5882377,2397315,9,2,0,0,0,70417,125170
1778176791527,2512318464,61730816,814006272,292036608,943730688,1073737728,854647,50343,6,6345217,54530,0,3917601,3469,875159040,51551232,5883359,2399023,9,2,0,0,0,70417,125170
1778176791822,2512318464,61730816,814014464,292036608,943730688,1073737728,854647,50343,6,6346875,54530,0,3917601,3469,875159040,51551232,5885155,2400603,9,2,0,0,0,70417,125170
1778176792117,2512318464,61730816,814014464,292036608,943730688,1073737728,854647,50343,6,6348534,54530,0,3917601,3469,875159040,51604480,5887005,2401397,9,2,0,0,0,70417,125170
