ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778298734609,2575286272,52756480,756207616,233500672,943714304,1073737728,834922,39619,6,2593390,48165,0,748875,3377,854960640,40569856,1428898,1048680,7,2,0,0,0,56129,126621
1778298734904,2575028224,52756480,756207616,233500672,943730688,1073737728,834922,39619,6,2595533,48165,0,749682,3377,854960640,40569856,1431000,1050498,7,2,0,0,0,56129,126621
1778298735198,2575028224,52756480,756215808,233500672,943710208,1073737728,834922,39655,6,2597164,48165,0,749682,3377,854960640,40606720,1431214,1050538,7,2,0,0,0,56129,126622
1778298735493,2575028224,52764672,756211712,233500672,943710208,1073737728,834922,39707,6,2598795,48165,0,749682,3377,854960640,40659968,1431428,1050578,7,2,0,0,0,56129,126622
1778298735788,2574770176,52764672,756211712,233500672,943702016,1073737728,834922,39707,6,2600931,48165,0,750485,3377,854960640,40659968,1433168,1051464,7,2,0,0,0,56129,126623
1778298736083,2574770176,52764672,756219904,233508864,943706112,1073737728,834922,39707,6,2602564,48165,0,750485,3377,854960640,40659968,1435066,1052296,7,2,0,0,0,56131,126623
1778298736378,2574770176,52764672,756219904,233508864,943706112,1073737728,834922,39707,6,2604196,48165,0,750485,3377,854960640,40659968,1437248,1053090,7,2,0,0,0,56131,126623
1778298736672,2574770176,52764672,756219904,233508864,943706112,1073737728,834922,39707,6,2605828,48165,0,750486,3377,854960640,40659968,1437654,1053210,7,2,0,0,0,56131,126623
1778298736969,2574266368,52764672,756219904,233508864,943861760,1073737728,834922,39707,6,2607965,48165,0,751291,3377,854960640,40659968,1439620,1054046,7,2,0,0,0,56131,126623
1778298737265,2574266368,52764672,756219904,233508864,943714304,1073737728,834922,39707,6,2609595,48165,0,751291,3377,854960640,40659968,1439990,1055232,7,2,0,0,0,56131,126623
